,day,best_agent_profit,day_best_agent_profit
422,422,71127.11972045898,71103.73243713379
423,423,71127.11972045898,71103.73243713379
424,424,71127.11972045898,71093.35177230835
425,425,71127.11972045898,71093.35177230835
426,426,71127.11972045898,71093.35177230835
427,427,71127.11972045898,71093.35177230835
428,428,71127.11972045898,71093.80759811401
429,429,71127.11972045898,71093.35177230835
430,430,71127.11972045898,71093.35177230835
431,431,71127.11972045898,71093.53887557983
432,432,71127.11972045898,71093.53887557983
433,433,71127.11972045898,71093.53887557983
434,434,71127.11972045898,71093.35177230835
435,435,71127.11972045898,71093.35177230835
436,436,71127.11972045898,71093.35177230835
437,437,71127.11972045898,71093.35177230835
438,438,71127.11972045898,71093.35177230835
439,439,71127.11972045898,71093.35177230835
440,440,71127.11972045898,71093.35177230835
441,441,71127.11972045898,71093.35177230835
442,442,71127.11972045898,71093.35177230835
443,443,71127.11972045898,71093.35177230835
444,444,71127.11972045898,71093.35177230835
445,445,71127.11972045898,71093.35177230835
446,446,71127.11972045898,71093.35177230835
447,447,71127.11972045898,71093.35177230835
448,448,71127.11972045898,71093.35177230835
449,449,71127.11972045898,71093.35177230835
450,450,71127.11972045898,71093.35177230835
451,451,71127.11972045898,71093.35177230835
452,452,71127.11972045898,71093.35177230835
453,453,71127.11972045898,71093.35177230835
454,454,71127.11972045898,71093.35177230835
455,455,71127.11972045898,71093.35177230835
456,456,71127.11972045898,71093.35177230835
457,457,71127.11972045898,71093.35177230835
458,458,71127.11972045898,71093.35177230835
459,459,71127.11972045898,71093.35177230835
460,460,71127.11972045898,71093.35177230835
461,461,71127.11972045898,71093.35177230835
462,462,71127.11972045898,71093.35177230835
463,463,71127.11972045898,71093.35177230835
464,464,71127.11972045898,71093.41212463379
465,465,71127.11972045898,71093.35177230835
466,466,71127.11972045898,71093.65632247925
467,467,71127.11972045898,71093.65632247925
468,468,71127.11972045898,71093.65632247925
469,469,71127.11972045898,71093.65632247925
470,470,71127.11972045898,71093.65632247925
471,471,71127.11972045898,71093.65632247925
472,472,71127.11972045898,71093.65632247925
473,473,71127.11972045898,71093.65632247925
474,474,71127.11972045898,71093.65632247925
475,475,71127.11972045898,71093.65632247925
476,476,71127.11972045898,71093.65632247925
477,477,71127.11972045898,71093.65632247925
478,478,71127.11972045898,71093.65632247925
479,479,71127.11972045898,71093.65632247925
480,480,71127.11972045898,71093.65632247925
481,481,71127.11972045898,71093.65632247925
482,482,71296.44047927856,71296.44047927856
483,483,71296.44047927856,71266.88179397583
484,484,71296.44047927856,71064.6217918396
485,485,71296.44047927856,71064.6217918396
486,486,71296.44047927856,71064.6217918396
487,487,71296.44047927856,71064.6217918396
488,488,71296.44047927856,71064.6217918396
489,489,71296.44047927856,71064.6217918396
490,490,71296.44047927856,71064.6217918396
491,491,71296.44047927856,71064.6217918396
492,492,71296.44047927856,71064.6217918396
493,493,71296.44047927856,71064.6217918396
494,494,71296.44047927856,71064.6217918396
495,495,71296.44047927856,71064.6217918396
496,496,71296.44047927856,71064.6217918396
497,497,71296.44047927856,71064.6217918396
498,498,71296.44047927856,71064.6217918396
499,499,71296.44047927856,71064.6217918396
500,500,71296.44047927856,71064.6217918396
501,501,71296.44047927856,71064.6217918396
502,502,71296.44047927856,71064.6217918396
503,503,71296.44047927856,71064.6217918396
504,504,71296.44047927856,71064.6217918396
505,505,71296.44047927856,71064.6217918396
506,506,71296.44047927856,71064.6217918396
507,507,71296.44047927856,71064.6217918396
508,508,71296.44047927856,71064.6217918396
